Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
8/3/2023 5:17,8/3/2023 5:29,HT146,EX201,EX201,ST_8_370_1,368.786,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,210.1,233,90%,233,0.626,0.011,0.723,Manual Assignment,Dump Assignment
8/3/2023 5:18,8/3/2023 5:37,HT150,EX206,EX206,ST_2_250_1,245.233,2250618HG-C1,HG,CRUSHER,CRUSHER,227.6,233,98%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:18,8/3/2023 5:27,HT130,WL222,WL222,ST_4_410_3,405.46,4410630LO1,LO,DLP_511,DLP_511,125.9,128,98%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 5:19,8/3/2023 5:30,HT126,WL231,WL231,ST_8_370_2,367.288,8370647LG-B1,LG,CRUSHER_2,CRUSHER_2,118.3,128,92%,128,0.335,0.019,0.585,Shovel Assignment,Manual Assignment
8/3/2023 5:19,8/3/2023 5:33,HT127,WL231,EX201,ST_8_370_1,365.815,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,121.9,128,95%,128,0.626,0.011,0.723,Shovel Assignment,Dump Assignment
8/3/2023 5:19,8/3/2023 5:27,HT135,EX204,EX204,ST_4_400_1,397.354,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,118.8,128,93%,128,0.437,0.014,0.29,Shovel Assignment,Manual Assignment
8/3/2023 5:22,8/3/2023 5:34,HT123,EX204,EX204,ST_4_400_1,396.834,4400671HG-C1,HG,CRUSHER,CRUSHER,110.9,128,87%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 5:23,8/3/2023 5:32,HT131,WL222,WL222,ST_4_410_3,406.771,4410630LO1,LO,DLP_511,DLP_511,136,128,106%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 5:23,8/3/2023 5:39,HT129,WL231,WL231,ST_8_370_2,364.147,8370647LG-B1,LG,CRUSHER_2,CRUSHER_2,124.9,128,98%,128,0.335,0.019,0.585,Shovel Assignment,Manual Assignment
8/3/2023 5:23,8/3/2023 5:40,HT152,EX206,EX206,ST_2_250_1,245.643,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,224.8,233,96%,233,0.511,0.022,0.991,Shovel Assignment,Manual Assignment
8/3/2023 5:25,8/3/2023 5:35,HT136,EX204,EX204,ST_4_400_1,394.603,4400671HG-C1,HG,CRUSHER,CRUSHER,129.7,128,101%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 5:26,8/3/2023 5:38,HT137,WL222,WL222,ST_4_410_3,406.321,4410630LO1,LO,DLP_511,DLP_511,132.2,128,103%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 5:27,8/3/2023 5:47,HT143,EX206,EX206,ST_2_250_1,241.892,2250618HG-C1,HG,CRUSHER,CRUSHER,215,233,92%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:27,8/3/2023 5:38,HT149,EX201,EX201,ST_8_370_1,362.264,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,212.2,233,91%,233,0.626,0.011,0.723,Shovel Assignment,Dump Assignment
8/3/2023 5:28,8/3/2023 5:41,HT148,WL231,WL231,ST_8_370_2,368.598,8370647LG-B1,LG,CRUSHER,CRUSHER,201.9,233,87%,233,0.335,0.019,0.585,Manual Assignment,Dump Assignment
8/3/2023 5:28,8/3/2023 5:36,HT133,EX204,EX204,ST_4_400_1,396.404,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,143.8,128,112%,128,0.437,0.014,0.29,Shovel Assignment,Manual Assignment
8/3/2023 5:30,8/3/2023 5:44,HT121,EX201,EX201,ST_8_370_1,366.795,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,111,128,87%,128,0.626,0.011,0.723,Manual Assignment,Dump Assignment
8/3/2023 5:31,8/3/2023 5:44,HT128,WL231,WL231,ST_8_370_2,365.277,8370647LG-B1,LG,CRUSHER_2,CRUSHER_2,123.8,128,97%,128,0.335,0.019,0.585,Manual Assignment,Manual Assignment
8/3/2023 5:32,8/3/2023 5:51,HT145,EX206,EX206,ST_2_250_1,248.955,2250618HG-C1,HG,CRUSHER,CRUSHER,220.2,233,95%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:32,8/3/2023 5:43,HT134,EX204,EX204,ST_4_400_1,396.884,4400671HG-C1,HG,CRUSHER,CRUSHER,130,128,102%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 5:33,8/3/2023 5:48,HT138,EX201,EX201,ST_8_370_1,364.054,8370633HG-D1,HG,CRUSHER,CRUSHER,126.5,128,99%,128,0.626,0.011,0.723,Manual Assignment,Manual Assignment
8/3/2023 5:35,8/3/2023 6:33,HT141,EX206,EX206,ST_2_250_1,248.275,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,234.6,233,101%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:35,8/3/2023 5:44,HT135,EX204,EX204,ST_4_400_1,397.084,4400671HG-C1,HG,CRUSHER,CRUSHER,123.4,128,96%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 5:36,8/3/2023 5:46,HT130,WL222,WL222,ST_4_410_3,405.34,4410630LO1,LO,DLP_511,DLP_511,128.4,128,100%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
