Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
2/1/2023 3:55,2/1/2023 4:19,HT125,EX204,EX204,ST_4_410_3,405.417,4410231LO2,LO,DLP_415_,DLP_415_,123.9,128,97,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:56,2/1/2023 4:21,HT126,WL231,WL231,ST_4_410_4,408.516,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,121.0,128,95,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:56,2/1/2023 4:21,HT142,EX205,EX205,ST_8_400_3,388.812,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,226.4,233,97,233,0.311,0.009,0.565,Unoptimized Assignment,Dump Assignment
2/1/2023 3:56,2/1/2023 4:21,HT135,EX203,EX203,ST_9_TS_2,415.672,5420220LO6,LO,DLP_415_,DLP_415_,126.8,128,99,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:57,2/1/2023 4:29,HT101,WL222,WL222,ST_2_280_2,279.547,2280647HG-C1,HG,CRUSHER,CRUSHER,50.859,90,57,90,0.473,0.014,0.916,Shovel Assignment,Locked Assignment
2/1/2023 3:58,2/1/2023 4:31,HT134,EX206,EX206,ST_2_280_1,276.791,2280659HG-D1,HG,CRUSHER_2,CRUSHER_2,122.7,128,96,128,0.654,0.006,1.479,Manual Assignment,Dump Assignment
2/1/2023 3:59,2/1/2023 4:22,HT123,EX203,EX203,ST_9_TS_2,416.072,5420220LO6,LO,DLP_415_,DLP_415_,129.8,128,101,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 4:00,2/1/2023 4:33,HT124,EX204,EX204,ST_4_410_3,404.716,4410231LO2,LO,DLP_415_,DLP_415_,121.9,128,95,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 4:01,2/1/2023 4:23,HT141,EX205,EX205,ST_8_400_3,388.002,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,203.6,233,87,233,0.311,0.009,0.565,Shovel Assignment,Dump Assignment
2/1/2023 4:19,2/1/2023 4:27,HT129,EX203,EX203,ST_9_TS_2,416.002,5420219LO3,LO,DLP_415_,DLP_415_,131.6,128,103,128,0.159,0.001,0.123,Shovel Assignment,Dump Assignment
2/1/2023 4:19,2/1/2023 4:27,HT133,WL231,WL231,ST_4_410_4,407.795,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,145.1,128,113,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 4:20,2/1/2023 4:30,HT150,EX205,EX205,ST_8_400_3,387.882,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,215.5,233,92,233,0.311,0.009,0.565,Shovel Assignment,Dump Assignment
2/1/2023 4:21,2/1/2023 4:33,HT136,WL222,WL222,ST_2_280_2,279.116,2280647HG-C1,HG,CRUSHER,CRUSHER,116.9,128,91,128,0.473,0.014,0.916,Unoptimized Assignment,Locked Assignment
2/1/2023 4:21,2/1/2023 4:31,HT128,EX204,EX204,ST_4_410_3,405.106,4410231LO2,LO,DLP_415_,DLP_415_,130.3,128,102,128,0.401,0.007,0.103,Unoptimized Assignment,Locked Assignment
2/1/2023 4:22,2/1/2023 4:29,HT138,EX203,EX203,ST_9_TS_2,418.253,5420219LO3,LO,DLP_415_,DLP_415_,132.2,128,103,128,0.159,0.001,0.123,Unoptimized Assignment,Dump Assignment
2/1/2023 4:22,2/1/2023 4:29,HT122,WL231,WL231,ST_4_410_4,407.575,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,133.9,128,105,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
